"Description: ","Outliers shown in *boxseries.pdf"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Date,Prec,TX,TN,DTR
1964-3-8,61.2,23.2,17,6.2
1970-3-16,66.8,23.9,16.6,7.3
1972-3-6,66.8,22.1,15.6,6.5
1972-3-7,74.7,22.6,14.6,8
1974-3-11,60.4,23.7,19.2,4.5
1974-3-12,82.4,24.7,19.5,5.2
1975-3-11,198.2,23,16.8,6.2
1976-3-4,64.6,23.5,19,4.5
1976-3-26,77,23.1,18,5.1
1977-3-2,83,22,15.6,6.4
1977-3-4,113.6,26.8,18.8,8
1978-3-20,98.6,24.3,18.7,5.6
1979-3-5,65.8,23.4,17.2,6.2
1983-3-17,109.6,23.3,17.7,5.6
1983-3-21,65.2,23.3,18.6,4.7
1983-3-22,86.8,29.8,18.5,11.3
1984-3-21,74.2,23.7,16.6,7.1
1984-3-24,163.8,22.6,17.4,5.2
1992-3-26,61.4,25.7,18.5,7.2
1994-3-7,59.2,23.8,18.6,5.2
2000-3-9,60.2,27.1,17,10.1
2005-3-23,73,18.9,15,3.9
2011-3-20,99.4,23.5,18.8,4.7
2012-3-8,109.4,21.2,15,6.2
1945-4-8,66.3,18.2,14.9,3.3
1945-4-21,106.7,23.4,16.8,6.6
1946-4-16,102.9,18.7,15.3,3.4
1947-4-22,62.2,19.8,13.1,6.7
1963-4-29,90.7,26.8,15.4,11.4
1966-4-27,103.6,15.8,12.2,3.6
1966-4-28,113.5,21.3,11.5,9.8
1969-4-16,103.9,22.5,15.3,7.2
1971-4-13,73.7,21.6,16.1,5.5
1978-4-9,62,24.8,19.7,5.1
1988-4-4,99.6,24.6,18.4,6.2
1988-4-29,71.8,20.8,17.4,3.4
1988-4-30,142.8,20.2,16.5,3.7
1994-4-14,60.8,19.5,12.6,6.9
1998-4-10,74.4,18.3,16.3,2
1998-4-11,165.2,22.2,14.2,8
1999-4-2,70,17.7,15.8,1.9
2001-4-10,78.2,21,17.4,3.6
2012-4-19,86.8,23.8,17.5,6.3
2013-4-4,61.4,20.9,15.7,5.2
2015-4-21,119.4,17.7,14.5,3.2
2015-4-22,105.8,17.9,14.1,3.8
1943-5-20,69.3,18.1,8.8,9.3
1945-5-16,72.4,17.1,10.3,6.8
1948-5-3,72.6,19.8,17.3,2.5
1950-5-25,80,18.5,11.1,7.4
1953-5-2,105.2,18.2,15.6,2.6
1953-5-8,93.7,19.1,15.7,3.4
1955-5-1,188.2,19.7,17.2,2.5
1962-5-13,111.8,17.6,13.3,4.3
1962-5-14,95.8,19.7,12.7,7
1963-5-7,67.6,19.6,16.1,3.5
1974-5-26,83.8,16.8,8.2,8.6
1983-5-22,65.2,20,14,6
1988-5-1,120.6,24.2,14.4,9.8
1997-5-11,68,16.1,11.9,4.2
1998-5-19,108.6,19.3,16.7,2.6
2001-5-6,93.6,18.3,12.1,6.2
2001-5-29,86.8,16.4,10.8,5.6
2003-5-14,67.8,18.2,14.6,3.6
2011-5-31,65.2,19.9,13.9,6
1946-6-6,96.8,14.9,7.3,7.6
1949-6-15,121.2,14.5,12.9,1.6
1950-6-15,85.9,16.4,12.2,4.2
1950-6-16,105.2,15.9,12.3,3.6
1956-6-25,111,15.6,12.6,3
1963-6-5,83.3,17.9,11.2,6.7
1964-6-10,85.6,17,11.4,5.6
1964-6-12,101.9,17.6,12.1,5.5
1967-6-23,86.1,17,13.3,3.7
1969-6-10,90.7,14.9,8.8,6.1
1975-6-21,106,14.1,11.3,2.8
1991-6-11,150.6,18.8,14,4.8
2007-6-9,112.2,16.2,11.8,4.4
2007-6-16,90.2,17.5,10.6,6.9
1938-7-30,50.5,18.8,6.8,12
1940-7-7,54.6,12.4,10.3,2.1
1950-7-11,55.1,17.6,11.8,5.8
1950-7-24,119.4,14.4,11.2,3.2
1952-7-26,127.3,17.1,12.7,4.4
1952-7-27,56.4,17.3,13.3,4
1957-7-10,46,18.4,10.4,8
1959-7-21,102.6,19.4,12.3,7.1
1960-7-13,109.7,18.7,11.8,6.9
1965-7-18,51.6,13.9,4.6,9.3
1968-7-23,43.7,12.3,7.1,5.2
1976-7-1,50.4,13,8.8,4.2
1988-7-6,89.8,21,15.5,5.5
1997-7-14,46,17.3,8.7,8.6
1999-7-12,50.6,15.8,11.4,4.4
1999-7-14,46.4,16.7,13.8,2.9
2005-7-1,50.2,18.5,11,7.5
2011-7-20,76.8,18.5,8.7,9.8
2011-7-22,88.2,13.9,11.3,2.6
2011-7-23,57.4,15.6,8.7,6.9
1939-8-3,58.4,16.6,9.7,6.9
1943-8-25,67.8,14.4,10.3,4.1
1951-8-1,105.7,16.7,10.1,6.6
1952-8-5,60.7,16.3,12.8,3.5
1952-8-6,53.3,17.1,14.3,2.8
1952-8-13,61.7,15.8,13.2,2.6
1961-8-25,74.2,11.6,9.4,2.2
1961-8-26,48,13.8,10.6,3.2
1963-8-30,130,12.8,10.6,2.2
1967-8-6,59.7,16,12,4
1967-8-7,63.5,16,7.2,8.8
1971-8-22,140,15.6,10.6,5
1973-8-12,49.8,16.6,7,9.6
1974-8-27,87,16.4,13.2,3.2
1983-8-12,55.8,16.8,11.6,5.2
1986-8-5,88,13.9,11.3,2.6
1986-8-6,327.6,14.6,10.4,4.2
1987-8-19,49.2,15.3,13.5,1.8
1990-8-1,108,16.1,9.7,6.4
1990-8-2,48.6,17.8,12.2,5.6
1996-8-31,127.4,15.9,12,3.9
1998-8-6,60.4,14.2,13.5,0.699999999999999
1998-8-7,104.6,17.1,12,5.1
1998-8-8,136,17.5,12.2,5.3
1998-8-16,54.4,15.3,12.3,3
1999-8-15,54.2,15.3,6.8,8.5
2004-8-18,105.4,12.1,9.6,2.5
2007-8-20,105.6,16.3,12.8,3.5
2015-8-25,54.4,19.9,12.5,7.4
1940-9-30,38.4,15.4,11,4.4
1943-9-29,83.8,16.2,12.3,3.9
1943-9-30,56.9,16.8,11.3,5.5
1949-9-24,45.2,14.7,10.2,4.5
1949-9-25,76.5,15.6,9.6,6
1950-9-12,43.4,20.4,14.5,5.9
1951-9-26,65.3,18.4,12.7,5.7
1959-9-9,46,18.2,13.9,4.3
1967-9-5,42.2,14.4,11,3.4
1970-9-2,81.8,16.1,8.3,7.8
1982-9-20,81.8,16.6,10.5,6.1
1988-9-16,43.2,20.2,14.1,6.1
1988-9-17,52.2,23.5,15.7,7.8
1990-9-15,89.8,14.6,10.5,4.1
1990-9-16,48.6,16.6,10.6,6
1993-9-14,89,19.8,13.3,6.5
1995-9-3,37.8,20.2,12,8.2
1995-9-25,73.6,16.8,11.1,5.7
1995-9-26,71,15.7,10.4,5.3
1996-9-29,69.4,21.1,13,8.1
1997-9-25,40.2,17.4,9.3,8.1
2006-9-7,107.2,18.3,9,9.3
2008-9-6,62.2,14.2,11.8,2.4
1942-10-14,64.5,16.4,15,1.4
1946-10-15,45,18.9,9.9,9
1952-10-23,54.1,16.4,14.1,2.3
1953-10-16,43.9,22.3,13.1,9.2
1959-10-5,43.9,15.4,11.7,3.7
1959-10-21,43.4,18.3,10.1,8.2
1959-10-30,90.7,20,16.4,3.6
1960-10-19,51.1,16,11.7,4.3
1960-10-22,140.7,20.9,12.7,8.2
1965-10-18,61,13.9,12.3,1.6
1965-10-19,39.6,18.4,11.2,7.2
1972-10-17,44.2,21.2,14.1,7.1
1973-10-13,59.2,17.3,12.7,4.6
1976-10-17,69.4,20,9.7,10.3
1981-10-19,43.8,17.5,13.4,4.1
1981-10-20,69,20.9,13.8,7.1
1981-10-22,51.8,19.2,13.6,5.6
1983-10-24,54.6,19.7,13.5,6.2
1985-10-14,81.2,20,12.7,7.3
1987-10-21,55.8,20.1,14.2,5.9
1987-10-25,121.2,18.6,15.2,3.4
1999-10-24,49.6,20.7,14.1,6.6
2004-10-2,72.8,19.1,12.1,7
2004-10-21,60.2,20.5,15.3,5.2
2009-10-26,73.2,17,14.4,2.6
2014-10-15,70.8,16,10.6,5.4
1946-11-19,52.6,28.3,14.6,13.7
1954-11-5,49.5,24,16.7,7.3
1955-11-27,133.1,18.6,11.2,7.4
1961-11-18,123.2,18.6,16.2,2.4
1961-11-19,118.1,20.4,16.4,4
1961-11-21,99.8,21.1,19.2,1.9
1961-11-26,58.4,19.9,14.9,5
1964-11-3,51.1,19.1,13,6.1
1966-11-9,120.4,22.1,15.7,6.4
1967-11-8,95.3,18.2,14.7,3.5
1969-11-14,129,22.7,17.3,5.4
1976-11-11,53.8,26,15.8,10.2
1980-11-10,52.8,20.3,11.9,8.4
1981-11-3,54.8,22.2,16.5,5.7
1984-11-6,98,22,16.2,5.8
1984-11-9,234.6,25.3,16.4,8.9
1984-11-12,48.8,26.7,19.8,6.9
1986-11-14,49.6,22.2,15.2,7
1987-11-11,57.2,16.5,14.8,1.7
1987-11-12,91,18.4,14.3,4.1
1995-11-12,54.4,17.8,15.3,2.5
1999-11-9,55.2,19.1,11.2,7.9
2007-11-27,62.6,23.2,17.9,5.3
1940-12-2,84.6,21.9,18.2,3.7
1940-12-21,51.6,20.4,16.2,4.2
1955-12-20,50,22.9,17.6,5.3
1958-12-3,55.6,22.3,16.6,5.7
1960-12-17,55.1,16.3,13.7,2.6
1963-12-8,105.9,22.2,18.1,4.1
1963-12-13,73.7,21.7,16.2,5.5
1968-12-5,47,19.6,16,3.6
1970-12-9,126,23.9,15.9,8
1989-12-5,79.6,20.4,17.2,3.2
1991-12-12,50.8,20.7,16.4,4.3
1991-12-14,56,23.9,16.5,7.4
2002-12-11,49.2,21.7,14.2,7.5
"TX up"
1939-1-14,0,45.3,21.9,23.4
1940-1-25,0,41.3,21.6,19.7
1940-1-28,0,40.6,21.7,18.9
1942-1-4,0,41.9,20.3,21.6
1942-1-8,0,40.4,18.2,22.2
1944-1-23,0,39.4,20.8,18.6
1946-1-5,0,39.8,21.7,18.1
1950-1-6,0,39.5,20.7,18.8
1952-1-25,0,41,22.2,18.8
1955-1-3,0,40.1,22.1,18
1960-1-25,0,39.4,20.8,18.6
1960-1-26,0,41.1,26.1,15
1960-1-27,0,42.4,22.8,19.6
1960-1-28,0,39.7,22.5,17.2
1961-1-29,0,41.6,21.3,20.3
1964-1-7,0,40.8,24.8,16
1975-1-2,0,39.6,20.8,18.8
1977-1-30,0,40.4,22,18.4
1979-1-10,0,39.6,23.2,16.4
1980-1-18,0,39.3,18.7,20.6
1983-1-9,0,40,25.3,14.7
2006-1-1,0,44.2,23.3,20.9
2009-1-24,0,40.9,24.8,16.1
2010-1-23,0,41.3,25,16.3
2013-1-8,0,42.3,20.9,21.4
2013-1-18,0,45.8,21.7,24.1
1939-2-14,0,38.8,19.9,18.9
1940-2-11,0,39.4,19.3,20.1
1941-2-1,0,39.3,20.4,18.9
1946-2-1,0,38.4,20.7,17.7
1973-2-6,0,39.6,26.6,13
1977-2-1,0,41.4,21,20.4
1979-2-13,0,38.4,22.5,15.9
1980-2-21,0,41.3,22.2,19.1
1982-2-9,0,37.9,21.4,16.5
1986-2-2,0,38.7,20.6,18.1
1986-2-9,0,39.7,21.5,18.2
1991-2-14,0,40.8,23.2,17.6
1998-2-27,0,38.2,21.9,16.3
2004-2-11,0,37.8,23.1,14.7
2005-2-8,0,38.2,20.7,17.5
2010-2-12,0,37.8,23.9,13.9
2011-2-5,0,41.5,24.2,17.3
1940-3-28,0,38.7,21.7,17
1951-3-6,0.3,37.9,20.9,17
1965-3-6,0,38.8,20.8,18
1980-3-19,0,37.3,19,18.3
1983-3-9,0,39.8,21.4,18.4
1985-3-2,0.2,37.8,18.4,19.4
2004-3-9,0,39.3,21.3,18
1954-8-24,0,30.4,13.2,17.2
1995-8-26,0,31.3,18.8,12.5
1941-11-30,0,39.6,18.7,20.9
1946-11-6,0,40.3,16.9,23.4
1980-11-18,0,39.2,20.7,18.5
1980-11-27,0,38.5,17.6,20.9
1982-11-25,0,41.8,22.7,19.1
1988-11-3,0,39.2,22.5,16.7
2004-11-28,0,38.9,19.8,19.1
2009-11-22,0,40.4,21.2,19.2
2015-11-20,0,40.9,21.4,19.5
1953-12-21,0.3,41.9,22.8,19.1
1957-12-20,0.8,42.2,20.6,21.6
1972-12-23,0,39.9,25.3,14.6
1979-12-5,0.2,39.9,21.9,18
1990-12-18,0,39.8,20.4,19.4
1990-12-23,0.2,40,20.7,19.3
1994-12-21,0,40.9,21.4,19.5
2004-12-1,0,40,21.5,18.5
"TX low"
"TN up"
"TN low"
"DTR up"
1939-1-14,0,45.3,21.9,23.4
1940-1-25,0,41.3,21.6,19.7
1940-1-28,0,40.6,21.7,18.9
1942-1-4,0,41.9,20.3,21.6
1942-1-8,0,40.4,18.2,22.2
1942-1-25,0,38.3,18.7,19.6
1944-1-23,0,39.4,20.8,18.6
1946-1-4,0,39,21.3,17.7
1946-1-5,0,39.8,21.7,18.1
1950-1-6,0,39.5,20.7,18.8
1952-1-25,0,41,22.2,18.8
1955-1-3,0,40.1,22.1,18
1960-1-25,0,39.4,20.8,18.6
1960-1-27,0,42.4,22.8,19.6
1961-1-29,0,41.6,21.3,20.3
1969-1-8,0,38.9,20.8,18.1
1975-1-2,0,39.6,20.8,18.8
1975-1-23,0,36.9,19,17.9
1977-1-30,0,40.4,22,18.4
1980-1-18,0,39.3,18.7,20.6
1994-1-5,0,36,18.4,17.6
2006-1-1,0,44.2,23.3,20.9
2007-1-21,0,38.7,20.3,18.4
2013-1-8,0,42.3,20.9,21.4
2013-1-18,0,45.8,21.7,24.1
1939-2-14,0,38.8,19.9,18.9
1940-2-11,0,39.4,19.3,20.1
1941-2-1,0,39.3,20.4,18.9
1943-2-18,0,35.8,15.8,20
1946-2-1,0,38.4,20.7,17.7
1963-2-21,0,33.9,15.9,18
1977-2-1,0,41.4,21,20.4
1978-2-9,0,36.7,19.4,17.3
1980-2-21,0,41.3,22.2,19.1
1984-2-12,0,35,17.6,17.4
1986-2-2,0,38.7,20.6,18.1
1986-2-9,0,39.7,21.5,18.2
1991-2-14,0,40.8,23.2,17.6
1995-2-3,0,36.5,18.8,17.7
2005-2-8,0,38.2,20.7,17.5
2011-2-5,0,41.5,24.2,17.3
1957-3-19,0,34.8,15.8,19
1985-3-2,0.2,37.8,18.4,19.4
1944-11-16,0,37.7,16,21.7
1945-11-9,0,36.9,15.7,21.2
1946-11-6,0,40.3,16.9,23.4
1951-11-3,0,35,13.8,21.2
1957-11-24,0,38.4,16.6,21.8
1950-12-14,0,38.5,17.8,20.7
1957-12-20,0.8,42.2,20.6,21.6
1965-12-28,0,36.4,16.5,19.9
"DTR low"
